,problem_id,prompts,GPT3.5_generated_code
10,80260,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:  
**

You've been asked to develop a tool to help identify the uniform of the day,
based on temperature and wind speed.

The command center has provided the following table for guidance:

| Temperature  
---|---  
Wind Speed |  | <40 | 40 | >40 and <60 | 60 | >60  
<15 | Parkas | A-Jackets | A-Jackets | A-Jackets | Blues  
15 | ABUs | ABUs | Parkas | Parkas | Blues  
>15 | ABUs | ABUs | Parkas | Parkas | A-Jackets  
  
Create a Python program that first gets the temperature (in degrees
Fahrenheit) and then the wind speed (in knots) from the user. You may assume
that all inputs are non-negative numbers.

It should then output the correct response, as described above.


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","
temperature = int(input(""Enter the temperature (in degrees Fahrenheit): ""))
wind_speed = int(input(""Enter the wind speed (in knots): ""))

if temperature < 15:
    if wind_speed < 40:
        uniform = ""Parkas""
    elif wind_speed == 40:
        uniform = ""A-Jackets""
    elif 40 < wind_speed < 60:
        uniform = ""A-Jackets""
    elif wind_speed == 60:
        uniform = ""A-Jackets""
    elif wind_speed > 60:
        uniform = ""Blues""
elif temperature == 15:
    if wind_speed < 40:
        uniform = ""ABUs""
    elif wind_speed == 40:
        uniform = ""ABUs""
    elif 40 < wind_speed < 60:
        uniform = ""Parkas""
    elif wind_speed == 60:
        uniform = ""Parkas""
    elif wind_speed > 60:
        uniform = ""Blues""
elif temperature > 15:
    if wind_speed < 40:
        uniform = ""ABUs""
    elif wind_speed == 40:
        uniform = ""ABUs""
    elif 40 < wind_speed < 60:
        uniform = ""Parkas""
    elif wind_speed == 60:
        uniform = ""Parkas""
    elif wind_speed > 60:
        uniform = ""A-Jackets""
        
print(uniform)
"
11,5,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:  
** Write a program that gets a speed (in miles per hour). You may assume that
all inputs are non-negative numbers.

It should output the kind of ticket a police officer should give the driver
(according to the table below).

Speed (mph) | <= 65 | >65 and <= 70 | >70 and <= 75 | > 75 and <= 80 | > 80  
---|---|---|---|---|---  
Ticket | No Ticket | Warning | Speeding | Reckless Driving | Reckless
Endangerment  
  
**EXAMPLES:**

| Example 1 | Example 2 | Example 3 | Example 4 | Example 5  
---|---|---|---|---|---  
Input | 48 | 68 | 72 | 78 | 136  
Expected Output  | No Ticket | Warning | Speeding | Reckless Driving |
Reckless Endangerment


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","
def get_ticket(speed):
    if speed <= 65:
        return ""No Ticket""
    elif speed <= 70:
        return ""Warning""
    elif speed <= 75:
        return ""Speeding""
    elif speed <= 80:
        return ""Reckless Driving""
    else:
        return ""Reckless Endangerment""
"
12,6,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:  
** You have been provided with a program that gets the user's body
temperature. If the body temperature is between 97-99 (inclusive), print
""Normal"". Otherwise, print ""Abnormal""


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","
temperature = float(input(""Enter your body temperature: ""))
if temperature >= 97 and temperature <= 99:
    print(""Normal"")
else:
    print(""Abnormal"")
"
13,617142,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:  
** You have been provided with a program that gets the user's body
temperature. If the body temperature is between 97-99 (inclusive), print
""Normal"". Otherwise, print ""Abnormal""


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","
temperature = float(input(""Enter body temperature: ""))

if temperature >= 97 and temperature <= 99:
    print(""Normal"")
else:
    print(""Abnormal"")
"
14,617149,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:  
**

Write a Python program that gets three values from the user:

  * The distance to a destination (in miles)
  * The amount of fuel in the user's car (in gallons)
  * The # of miles the user's car can travel per gallon of gas (i.e., Miles Per Gallon)

You may assume that all inputs are non-negative numbers.

Calculate the amount of fuel needed to reach the destination. Then output
whether or not the user needs to refuel during a round trip, using the below
table as a guide:

Fuel Consumed (One-Way) | =< 50% | > 50% and <= 100% | > 100%  
---|---|---|---  
Output | No Refueling Needed | Refuel on Way Back | Refuel En Route  
  
**EXAMPLES:**

| Example 1 | Example 2 | Example 3  
---|---|---|---  
Input | 100  
10  
30 | 100  
5  
20 | 100  
7  
10  
Output | No Refueling Needed | Refuel on Way Back | Refuel En Route  
  
**NOTE: Your Output Must Match Exactly**


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","
distance = float(input())
fuel = float(input())
mpg = float(input())

fuel_needed = distance / mpg
if fuel_needed <= fuel / 2:
    print(""No Refueling Needed"")
elif fuel_needed <= fuel:
    print(""Refuel on Way Back"")
else:
    print(""Refuel En Route"")
"
15,617223,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:  
**

Write an algorithm that gets a decimal GPA, APA, and MPA from the user (in
that order). You may assume that all inputs are non-negative whole numbers.

It then reports which meritorious list the cadet is on. If the GPA is equal to
or above 3.0, the cadet is on the ""Dean's List"", and if the APA is equal to or
above 3.0, the cadet is on the ""Athletic Director's List"", and if the MPA is
equal to or above 3.0, the cadet is on the ""Commandant's List"". Finally, if
the cadet qualifies for all three individual lists, then the cadet is on the
""Superintendent's List"". The algorithm should report all the lists the cadet
is on (in the order defined above), unless the cadet is on the Superintendents
List, in which case, it should report only, ""Superintendent's List"".

| No List | Dean's List | Athletic Director's List | Commandant's List |
Superintendent's List  
---|---|---|---|---|---  
GPA | < 3.0 | >= 3.0 | n/a | n/a | >= 3.0  
APA | < 3.0 | n/a | >= 3.0 | n/a | >= 3.0  
MPA | < 3.0 | n/a | n/a | >= 3.0 | >= 3.0  
  
**EXAMPLES:**

Example 1 | Example 2 | Example 3 | Example 4 | Example 5  
---|---|---|---|---  
Input | 2.8  
2.6  
2.5 | 3.5  
3.2  
2.8 | 3.3  
2.8  
3.4 | 3.6  
3.8  
3.2 | 2.8  
3.5  
3.8  
Output | No List | Dean's List  
Athletic Director's List | Dean's List  
Commandant's List | Superintendent's List | Athletic Director's List  
Commandant's List


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","
gpa = float(input())
apa = float(input())
mpa = float(input())

lists = []

if gpa >= 3.0:
    lists.append(""Dean's List"")
if apa >= 3.0:
    lists.append(""Athletic Director's List"")
if mpa >= 3.0:
    lists.append(""Commandant's List"")

if lists:
    if gpa >= 3.0 and apa >= 3.0 and mpa >= 3.0:
        lists = [""Superintendent's List""]
else:
    lists.append(""No List"")

print('\n'.join(lists))
"
16,617260,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:**

Write an algorithm that gets a fuel load (in lbs) and then a distance to base
(in nautical miles). You may assume all inputs are non-negative numbers.

It then outputs what kind of action the pilot should take. If the fuel load is
less than 50 lbs and the distance to base is less than 70 nm, report ""Return
to base"", otherwise, report ""Resume flight"".

**EXAMPLES:**

| Example 1 | Example 2 | Example 3 | Example 4  
---|---|---|---|---  
Input | 30  
60 | 60  
60 | 40  
80 | 60  
80  
Output | Return to base | Resume flight | Resume flight | Resume flight  
  
**Note: Output must match exactly.**


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","
fuel_load = int(input())
distance_to_base = int(input())

if fuel_load < 50 and distance_to_base < 70:
    print(""Return to base"")
else:
    print(""Resume flight"")
"
17,617280,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:  
** You have been provided with a program that gets a course name and number
(e.g., Math 243) from the user. Modify the program to do the following:

  * If the course name is equal to ""CS110"", print ""You get to program!""
  * Otherwise, print ""Boo, no programming.""


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","
course_name = input(""Enter course name and number: "")

if course_name == ""CS110"":
    print(""You get to program!"")
else:
    print(""Boo, no programming."")
"
18,617341,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:  
** You have been provided with a program that gets a temperature from the
user. Modify the program to do the following:

  * If the temperature is less than or equal to 32, print ""Water Has Frozen""
  * Otherwise (i.e., else), print ""Above Water's Freezing Point""


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","temperature = int(input(""Enter the temperature: ""))

if temperature <= 32:
    print(""Water Has Frozen"")
else:
    print(""Above Water's Freezing Point"")"
19,617390,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:  
**

Write a Python  **program**  that gets a floating point number from the user:

  * If the number is positive, print the word `POSITIVE`
  * Otherwise, print the word `NOT POSITIVE`

| Example 1 | Example 2 | Example 3  
---|---|---|---  
Input | 10 | -5 | 0  
Output | POSITIVE | NOT POSITIVE | NOT POSITIVE


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","
number = float(input(""Enter a floating point number: ""))

if number > 0:
    print(""POSITIVE"")
else:
    print(""NOT POSITIVE"")
"
20,7,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:  
**

Write a program that takes three integers as parameters, and prints the
largest (i.e., highest) number.

Ex: If the input is:

    
    
    7
    15
    3
    

Your function should return:

    
    
    15
    

  
In the event that all 3 numbers are the same, output that number.

Ex: If the input is:

    
    
    5
    5
    5
    

Your function should return:

    
    
    5


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","
def find_largest(num1, num2, num3):
    if num1 >= num2 and num1 >= num3:
        return num1
    elif num2 >= num3:
        return num2
    else:
        return num3
"
21,26344,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:  
**

Using the below table as a guide, write a Python program that takes the user's
class year as input, and outputs their cadet class. If the class year is
before 2021, output ""Graduate"". Alternatively, if the class year is larger
than 2024, output ""Not a Cadet"".

You may assume that all inputs provided to your application are years
(represented as Integers)

| Example 1 | Example 2 | Example 3 | Example 4 | Example 5 | Example 6  
---|---|---|---|---|---|---  
Input | 2021 | 2022 | 2023 | 2024 | 2020 | 2025  
Output | Firstie | Two Degree | Three Degree | Four Degree | Graduate | Not a
Cadet


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","def cadet_class(year):
    if year < 2021:
        return ""Graduate""
    elif year > 2024:
        return ""Not a Cadet""
    elif year == 2021:
        return ""Firstie""
    elif year == 2022:
        return ""Two Degree""
    elif year == 2023:
        return ""Three Degree""
    else:
        return ""Four Degree"""
22,28380,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:  
** The Earth's atmosphere is divided into a series of layers. Write an
algorithm that asks the user for the altitude in kilometers. Then output the
corresponding layer according to the following table:

Altitude | ≤10km | >10km&≤50km | >50km&≤85km | >85km&≤1000km |
>1000km&≤100,000km | >100,000km  
---|---|---|---|---|---|---  
**Layer** | Troposphere | Stratosphere | Mesosphere | Thermosphere | Exosphere
| Space


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","
altitude = float(input(""Enter the altitude in kilometers: ""))

if altitude <= 10:
    layer = ""Troposphere""
elif altitude <= 50:
    layer = ""Stratosphere""
elif altitude <= 85:
    layer = ""Mesosphere""
elif altitude <= 1000:
    layer = ""Thermosphere""
elif altitude <= 100000:
    layer = ""Exosphere""
else:
    layer = ""Space""

print(""The corresponding layer is:"", layer)
"
23,29767,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:**

Write an algorithm that prompts the user for a temperature in °F and then
outputs K and °C in that order.

**EXAMPLE:**

| Example 1 | Example 2  
---|---|---  
Input | 32 | 0  
Output | 273.15  
0 | 255.372  
-17.778  
  
**Note: Output must match within a predefined tolerance.**


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","
def temperature_conversion():
    fahrenheit = float(input(""Enter temperature in °F: ""))
    kelvin = (fahrenheit - 32) * (5/9) + 273.15
    celsius = (fahrenheit - 32) * (5/9)
    print(kelvin)
    print(celsius)
    
temperature_conversion()
"
24,29806,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:  
** You have been provided with a template that gets a distance and speed from
the user, and calculates the travel time. Unfortunately, the code does not
work. Analyze the code (and error message) and fix the problem.


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ",
25,29809,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:  
** Prompt the user for 3 different values. Store the values in variables using
the names specified within the template. DO NOT include any prompts when
asking for a value from the user.


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","
# Buggy Program
value1 = int(input(""Enter value 1: ""))
value2 = int(input(""Enter value 2: ""))
value3 = int(input(""Enter value 3: ""))

print(value1, value2, value3)
```

"
26,8,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:**

Write a python program that can calculate the range of a projectile when fired
from an artillery on level ground. Your program will ask the user to input the
initial velocity (`v`) and angle in degrees (`theta`). Your program should
then calculate and print the range using the following formula:

`range = (v^2 * sin(2 * theta)) / 9.8`  
 **WARNING: The above formula is not valid Python.**  
  

| Example 1 | Example 2 | Example 3  
---|---|---|---  
Input | 800  
45 | 600  
30 | 535.2  
81.7  
Output | 65306.122 | 31813.178 | 8350.235  
  
**Hints**

  * You need to use the `math` module's trig functions to solve this problem. Type `import math` at the top of your code to add it to your program.
  * The `sin()` and `cos()` functions assume that the angle is in  **radians**


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","import math

v = float(input())
theta = float(input())

range = (v**2 * math.sin(2 * math.radians(theta))) / 9.8

print(range)"
